Distance,TimeMs,Speed,Throttle,Brake,Steer,nGear
471.84765625,10871,88,41.17647111415863,0.0,-0.0,0
472.67578125,10905,89,42.74509847164154,0.0,-0.0,0
473.49609375,10938,89,43.529412150382996,0.0,-0.0,0
474.31640625,10971,90,43.92156898975372,0.0,-0.0,0
475.140625,11003,91,43.92156898975372,0.0,-0.0,0
475.96875,11035,91,43.92156898975372,0.0,-0.0,0
476.80078125,11068,92,43.92156898975372,0.0,-0.0,0
477.64453125,11100,93,44.31372582912445,0.0,-0.0,0
478.49609375,11132,93,44.31372582912445,0.0,0.027088642120361328,0
479.35546875,11165,94,44.70588266849518,0.0,0.04844363406300545,0
480.21875,11197,95,44.70588266849518,0.0,0.07499507814645767,0
481.08984375,11230,95,44.70588266849518,0.0,0.09663130342960358,0
481.95703125,11263,96,44.70588266849518,0.0,0.057552486658096313,0
482.83203125,11295,97,44.70588266849518,0.0,0.021832333877682686,0
483.71484375,11327,97,44.70588266849518,0.0,-0.0,0
484.59765625,11359,98,44.70588266849518,0.0,-0.0,0
485.48828125,11392,99,45.098039507865906,0.0,-0.0,0
486.38671875,11424,99,45.098039507865906,0.0,-0.0,0
487.29296875,11456,100,45.098039507865906,0.0,-0.0,0
488.203125,11489,100,45.098039507865906,0.0,-0.0,0
489.12109375,11521,101,45.098039507865906,0.0,-0.0,0
490.04296875,11553,102,45.49019634723663,0.0,-0.0,0
490.97265625,11586,102,45.49019634723663,0.0,-0.0,0
491.98046875,11618,103,45.49019634723663,0.0,-0.0,0
493.0,11653,104,45.49019634723663,0.0,-0.0,0
494.01953125,11688,104,45.49019634723663,0.0,-0.0,0
495.0546875,11723,105,45.88235318660736,0.0,-0.0,0
496.09765625,11758,106,46.27451002597809,0.0,-0.0,0
497.13671875,11793,106,46.666666865348816,0.0,-0.0,0
498.1875,11828,107,47.05882370471954,0.0,0.0013435168657451868,0
499.16015625,11863,108,47.05882370471954,0.0,0.017053624615073204,0
500.13671875,11895,108,47.05882370471954,0.0,0.03298319876194,0
501.1171875,11928,109,47.05882370471954,0.0,0.048819079995155334,0
502.10546875,11960,110,47.45098054409027,0.0,0.06234050169587135,0
503.09765625,11992,110,47.45098054409027,0.0,0.029643366113305092,0
504.1015625,12024,111,47.843137383461,0.0,-0.0,0
505.109375,12057,111,48.235294222831726,0.0,-0.0,0
506.12890625,12089,112,49.01960790157318,0.0,-0.0,0
507.1484375,12121,113,49.41176474094391,0.0,-0.0,0
508.17578125,12154,113,50.1960813999176,0.0,-0.0,0
509.20703125,12186,114,50.58823823928833,0.0,-0.0,0
510.24609375,12219,115,50.58823823928833,0.0,-0.0,0
511.2890625,12251,116,50.98039507865906,0.0,-0.0,0
512.33984375,12283,116,52.15686559677124,0.0,-0.0,0
513.39453125,12315,117,52.54902243614197,0.0,0.005904729478061199,0
514.46875,12347,118,52.941179275512695,0.0,0.020695097744464874,0
515.55078125,12380,119,52.941179275512695,0.0,0.03704288229346275,0
